"STUDY_ID","ABUNDANCE","BIOMASS","YEAR","LATITUDE","LONGITUDE","PLOT","DEPTH","SAMPLE_DESC","GENUS_SPECIES"
"348","1","55","2006","-28.585300","-48.973100","1","3","2006_1","Artibeus fimbriatus"
"348","1","62","2007","-28.585300","-48.973100","1","3","2007_1","Artibeus fimbriatus"
"348","1","62","2007","-28.585300","-48.973100","1","3","2007_1","Artibeus fimbriatus"
"348","4","250","2008","-28.585300","-48.973100","1","3","2008_1","Artibeus fimbriatus"
"348","9","538","2008","-28.585300","-48.973100","1","3","2008_1","Artibeus fimbriatus"
"348","7","426","2008","-28.585300","-48.973100","1","3","2008_1","Artibeus fimbriatus"
"348","2","126","2010","-28.585300","-48.973100","1","3","2010_1","Artibeus fimbriatus"
"348","3","187","2011","-28.585300","-48.973100","1","3","2011_1","Artibeus fimbriatus"
"348","2","128","2011","-28.585300","-48.973100","1","3","2011_1","Artibeus fimbriatus"
"348","4","217","2012","-28.585300","-48.973100","1","3","2012_1","Artibeus fimbriatus"
"348","3","196","2012","-28.585300","-48.973100","1","3","2012_1","Artibeus fimbriatus"
"348","2","135","2014","-28.585300","-48.973100","1","3","2014_1","Artibeus fimbriatus"
"348","2","144","2015","-28.585300","-48.973100","1","3","2015_1","Artibeus fimbriatus"
"348","4","263","2015","-28.585300","-48.973100","1","3","2015_1","Artibeus fimbriatus"
"348","4","258","2015","-28.585300","-48.973100","1","3","2015_1","Artibeus fimbriatus"
"348","1","63","2015","-28.585300","-48.973100","1","3","2015_1","Artibeus fimbriatus"
"348","3","169","2015","-28.585300","-48.973100","1","3","2015_1","Artibeus fimbriatus"
"348","3","195","2015","-28.585300","-48.973100","1","3","2015_1","Artibeus fimbriatus"
"348","1","164","2015","-28.585300","-48.973100","1","3","2015_1","Artibeus fimbriatus"
"348","3","215","2015","-28.585300","-48.973100","1","3","2015_1","Artibeus fimbriatus"
"348","1","77","2015","-28.585300","-48.973100","1","3","2015_1","Artibeus fimbriatus"
"348","2","141","2016","-28.585300","-48.973100","1","3","2016_1","Artibeus fimbriatus"
"348","1","70","2016","-28.585300","-48.973100","1","3","2016_1","Artibeus fimbriatus"
"348","2","135","2016","-28.585300","-48.973100","1","3","2016_1","Artibeus fimbriatus"
"348","1","76","2014","-28.585300","-48.973100","2","7","2014_2","Artibeus fimbriatus"
"348","2","114","2008","-28.585300","-48.973100","3","7","2008_3","Artibeus fimbriatus"
"348","3","167","2010","-28.585300","-48.973100","3","7","2010_3","Artibeus fimbriatus"
"348","1","63","2010","-28.585300","-48.973100","3","7","2010_3","Artibeus fimbriatus"
"348","1","78","2006","-28.585300","-48.973100","1","3","2006_1","Artibeus lituratus"
"348","1","67","2007","-28.585300","-48.973100","1","3","2007_1","Artibeus lituratus"
"348","1","58","2007","-28.585300","-48.973100","1","3","2007_1","Artibeus lituratus"
"348","2","154","2007","-28.585300","-48.973100","1","3","2007_1","Artibeus lituratus"
